normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,ads_priority_guess,keep_review_pause_guess,notes
1 steens buitenmuur isoleren,1 steens buitenmuur isoleren,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,79,0.368464,1.239837,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
1 steens muur isoleren,1 steens muur isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,20,HIGH,86,0.25836,1.48173,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
2 cm isolatie,2 cm isolatie,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.127272,2.212486,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
aannemer gevelisolatie,aannemer gevelisolatie,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
aerogel isolatie buitenmuur,aerogel isolatie buitenmuur,other,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1,1,0.44,0.0,Gevelisolatie - Core,,,False,,,,,,,,
bakstenen muur isoleren,bakstenen muur isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,98,1.020317,6.021049,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
besparing gevelisolatie,besparing gevelisolatie,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,71,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
bestaande buitenmuur isoleren,bestaande buitenmuur isoleren,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,76,0.644431,1.632303,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
bestaande gevel isoleren,bestaande gevel isoleren,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
beste gevelisolatie,beste gevelisolatie,core_isolation,commercial,nl,NL,True,False,False,False,False,20,HIGH,100,0.844235,2.72088,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,low,,,
beste isolatie buitenmuur,beste isolatie buitenmuur,other,commercial,nl,NL,True,False,False,False,False,10,HIGH,99,0.514033,1.320331,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
binnen muur isoleren,binnen muur isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,30,HIGH,100,0.494752,2.121781,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
binnenisolatie van buitenmuren,binnenisolatie van buitenmuren,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,71,0.318002,3.352894,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
binnenkant muur isoleren,binnenkant muur isoleren,other,commercial_investigative,nl,NL,True,False,False,False,False,320,HIGH,100,0.381881,1.795283,,,,,,,,,,,,,,,,,,,,,False,,,,,medium,expansion_candidate,,
