keyword,match_type,ad_group,status,healthy_impr,healthy_clicks,healthy_cost,healthy_conv,bad_impr,bad_clicks,bad_cost,bad_conv,recovery_impr,recovery_clicks,recovery_cost,recovery_conv
buitengevel isoleren,EXACT,Gevelisolatie - Core,ENABLED,41,4,3.36,0.0,37,6,8.55,0.0,31,5,5.03,0.0
buitengevel isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevel isoleren en stucen,EXACT,Gevelisolatie - Afwerking,ENABLED,32,5,6.47,0.0,20,1,0.43,0.0,17,2,5.92,0.0
buitengevel isoleren en stucen,PHRASE,Gevelisolatie - Afwerking,ENABLED,18,2,2.03,0.0,31,2,0.93,0.0,23,5,3.56,0.0
buitengevel isoleren vergunning,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevel isoleren vergunning,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie,EXACT,Gevelisolatie - Core,ENABLED,71,8,17.78,1.0,65,6,7.76,0.0,97,11,15.05,1.0
buitengevelisolatie,PHRASE,Gevelisolatie - Core,ENABLED,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie bedrijven,EXACT,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie bedrijven,PHRASE,Gevelisolatie - Offerte,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie crepi,EXACT,Gevelisolatie - Afwerking,ENABLED,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie crepi,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie details,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie details,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie kosten,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie kosten,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie met steenstrips,EXACT,Gevelisolatie - Afwerking,ENABLED,52,6,8.95,0.0,58,14,14.83,0.0,59,11,16.02,1.0
buitengevelisolatie met steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie prijs,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie prijs,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie prijs per m2,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie prijs per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie sierpleister,EXACT,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie sierpleister,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie steenstrips,EXACT,Gevelisolatie - Afwerking,ENABLED,2,0,0.0,0.0,2,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie stuc,EXACT,Gevelisolatie - Afwerking,ENABLED,12,1,0.41,0.0,21,4,3.41,0.0,33,4,9.57,0.0
buitengevelisolatie stuc,PHRASE,Gevelisolatie - Afwerking,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
