search_term,healthy_impr,healthy_clicks,healthy_cost,healthy_conv,bad_impr,bad_clicks,bad_cost,bad_conv,recovery_impr,recovery_clicks,recovery_cost,recovery_conv
alsecco nederland,0,0,0,0,1,0,0.0,0.0,0,0,0,0
aluminium gevelbekleding met isolatie,0,0,0,0,0,0,0,0,1,0,0.0,0.0
binnengevelisolatie,1,0,0.0,0.0,0,0,0,0,0,0,0,0
biobased gevelisolatie,1,0,0.0,0.0,0,0,0,0,0,0,0,0
bluedec gevelisolatie,0,0,0,0,0,0,0,0,2,0,0.0,0.0
buiten gevel isolatie,3,0,0.0,0.0,1,0,0.0,0.0,6,0,0.0,0.0
buiten gevel isoleren,0,0,0,0,1,0,0.0,0.0,0,0,0,0
buiten gevelisolatie,2,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0
buiten isolatie,6,1,0.89,0.0,5,0,0.0,0.0,2,0,0.0,0.0
buiten isolatie gevel,0,0,0,0,8,0,0.0,0.0,5,1,1.25,0.0
buiten isolatie muren,0,0,0,0,1,0,0.0,0.0,0,0,0,0
buiten isolatie platen,1,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0
buiten muren isoleren,3,1,1.46,0.0,0,0,0,0,0,0,0,0
buiten muur isolatie,0,0,0,0,2,0,0.0,0.0,0,0,0,0
buiten muur isoleren,7,3,2.38,0.0,2,1,1.71,0.0,2,0,0.0,0.0
buiten stucwerk op isolatie,5,0,0.0,0.0,2,0,0.0,0.0,0,0,0,0
buitengevel crepi,1,0,0.0,0.0,0,0,0,0,0,0,0,0
buitengevel isolatie,29,3,2.4,1.0,17,1,0.78,0.0,29,6,7.77,1.0
buitengevel isolatie met steenstrips,0,0,0,0,1,1,0.73,0.0,1,1,0.41,0.0
buitengevel isolatie platen,1,0,0.0,0.0,0,0,0,0,0,0,0,0
buitengevel isolatie prijs,1,0,0.0,0.0,0,0,0,0,0,0,0,0
buitengevel isolatie steenstrips,0,0,0,0,1,0,0.0,0.0,1,0,0.0,0.0
buitengevel isoleren,38,4,3.36,0.0,36,5,6.98,0.0,30,5,5.03,0.0
buitengevel isoleren en bekleden,17,1,0.55,0.0,14,5,3.23,0.0,10,2,4.02,0.0
buitengevel isoleren en bekleden met hout,0,0,0,0,2,0,0.0,0.0,1,0,0.0,0.0
buitengevel isoleren en bepleisteren,0,0,0,0,2,0,0.0,0.0,1,0,0.0,0.0
buitengevel isoleren en stucen,13,3,4.4,0.0,9,0,0.0,0.0,11,0,0.0,0.0
buitengevel isoleren en stucen prijs,17,2,2.03,0.0,19,2,0.93,0.0,14,5,3.56,0.0
buitengevel isoleren kosten,1,1,0.43,0.0,0,0,0,0,0,0,0,0
buitengevel isoleren steenstrips,0,0,0,0,2,0,0.0,0.0,0,0,0,0
buitengevel na isoleren,0,0,0,0,0,0,0,0,1,0,0.0,0.0
buitengevel stucen isolatie,1,0,0.0,0.0,0,0,0,0,0,0,0,0
buitengevelisolatie,29,2,5.1,0.0,34,3,4.34,0.0,41,3,4.19,0.0
buitengevelisolatie bedrijven,1,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0
buitengevelisolatie met steenstrips,1,0,0.0,0.0,2,0,0.0,0.0,0,0,0,0
buitengevelisolatie met stucwerk,0,0,0,0,0,0,0,0,3,1,2.02,0.0
buitengevelisolatie prijs per m2,2,0,0.0,0.0,0,0,0,0,0,0,0,0
buitengevelisolatie steenstrips,2,0,0.0,0.0,0,0,0,0,0,0,0,0
buitengevelisolatie stucwerk,1,0,0.0,0.0,2,0,0.0,0.0,5,0,0.0,0.0
buitengevelisolatiesysteem,1,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0
buitenisolatie,2,0,0.0,0.0,3,0,0.0,0.0,6,0,0.0,0.0
buitenisolatie gevel,9,3,2.32,0.0,6,0,0.0,0.0,5,1,1.29,0.0
buitenisolatie gevel prijs,0,0,0,0,1,0,0.0,0.0,0,0,0,0
buitenisolatie huis,0,0,0,0,1,0,0.0,0.0,0,0,0,0
buitenisolatie met steenstrips,0,0,0,0,1,1,1.1,0.0,2,0,0.0,0.0
buitenisolatie met stucwerk,1,0,0.0,0.0,0,0,0,0,0,0,0,0
buitenkant huis isoleren,1,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0
buitenkant isoleren,1,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0
buitenkant isoleren huis,0,0,0,0,1,0,0.0,0.0,0,0,0,0
buitenkant muur isoleren,2,0,0.0,0.0,0,0,0,0,2,0,0.0,0.0
buitenkant woning isoleren,2,1,1.03,0.0,0,0,0,0,1,0,0.0,0.0
buitenmuren isoleren,0,0,0,0,1,0,0.0,0.0,2,0,0.0,0.0
buitenmuur bekleden met steenstrips,0,0,0,0,0,0,0,0,2,0,0.0,0.0
buitenmuur buiten isoleren,0,0,0,0,3,0,0.0,0.0,0,0,0,0
buitenmuur isolatie,11,0,0.0,0.0,4,1,0.62,0.0,10,1,1.8,0.0
buitenmuur isolatie met steenstrips,0,0,0,0,6,1,1.29,0.0,2,0,0.0,0.0
buitenmuur isolatieplaten,0,0,0,0,1,0,0.0,0.0,0,0,0,0
buitenmuur isoleren,14,3,1.79,0.0,20,4,2.53,0.0,23,2,1.76,0.0
buitenmuur isoleren aan buitenkant,0,0,0,0,2,0,0.0,0.0,0,0,0,0
buitenmuur isoleren aan de buitenkant,2,1,0.36,0.0,0,0,0,0,3,0,0.0,0.0
buitenmuur isoleren buitenkant,6,0,0.0,0.0,7,1,0.62,0.0,11,2,1.47,0.0
buitenmuur isoleren en bekleden,0,0,0,0,2,0,0.0,0.0,2,0,0.0,0.0
