query,cl_healthy,cl_recovery,d_clicks,impr_healthy,impr_recovery,d_impr,pos_healthy,pos_recovery
gevelisolatie breda,0,0,0,150,0,-150,19.1,0
gevelisolatie zoetermeer,0,0,0,182,36,-146,20.0,21.8
gevelisolatie rotterdam,0,0,0,157,57,-100,9.7,17.9
buitengevelisolatie,0,0,0,84,23,-61,38.9,44.5
gevelisolatie almere,0,0,0,53,2,-51,36.6,41.5
gevelisolatie kosten,1,0,-1,76,32,-44,21.6,52.9
kosten gevelisolatie,0,0,0,60,18,-42,12.1,48.8
isolatie maassluis,0,0,0,39,0,-39,23.0,0
gevelisolatie leiden,0,0,0,64,28,-36,10,7.1
buitenmuur stucen nadelen,0,0,0,57,22,-35,3.3,15.1
isoleren maassluis,0,0,0,35,0,-35,36.9,0
buitenstucwerk,0,0,0,45,11,-34,32.6,32.8
behangklare wanden afwerken,0,0,0,30,0,-30,64.7,0
buitenmuur stucen,0,0,0,41,11,-30,7.7,16
sausklaar stucen nieuwbouw,0,0,0,63,33,-30,26.0,24.7
klussenbedrijf 010 rotterdam vlaardingen,0,0,0,32,4,-28,35.2,37
buiten stucwerk,0,0,0,26,2,-24,25.2,44
behangklaar muren,0,0,0,29,7,-22,69.7,48.6
klussenbedrijf 010 vlaardingen rotterdam,0,0,0,22,0,-22,33.9,0
gevelisolatie gouda,0,0,0,26,5,-21,9.1,17.8
schildersbedrijf halsteren,0,0,0,24,4,-20,28.6,27.2
geluidsisolatie zoetermeer,0,0,0,19,0,-19,48.3,0
strakke nieuwbouw muren,0,0,0,24,7,-17,38.9,43.7
specialistisch stucwerk in rotterdam,0,0,0,16,0,-16,30.4,0
gevel stucen,0,2,2,68,52,-16,3.4,3.7
gevelisolatie alphen aan den rijn,0,0,0,17,3,-14,10.8,16.7
gevelisolatie prijs,0,0,0,13,0,-13,20.3,0
van behangklaar naar sausklaar kosten,0,0,0,15,2,-13,19.1,22
gevelwerken voorburg,0,0,0,13,0,-13,17.3,0
vloerisolatie hellevoetsluis,0,0,0,11,0,-11,36.2,0
gevel schilderen prijs,0,0,0,11,1,-10,17.2,24
betonstuc buiten,0,0,0,10,0,-10,20.6,0
sausklaar stucwerk voorstrijken,0,0,0,16,7,-9,37.6,36.7
buitengevelisolatie rotterdam,0,0,0,11,3,-8,3.5,21
gevelisolatie afwerking,0,0,0,8,0,-8,29.2,0
gevel stucwerk,0,0,0,7,1,-6,34,47
spachtelputz prijzen,0,0,0,9,3,-6,49.1,50.3
renovatie nieuw-helvoet,0,0,0,5,0,-5,21.2,0
buitenmuur stucen kosten,0,0,0,10,5,-5,20.7,28.8
buitengevel isoleren en stucen prijs,0,0,0,28,23,-5,12.8,11.3
behangklaar en sausklaar,0,0,0,5,0,-5,31,0
strakke wanden,0,0,0,10,5,-5,52.1,47.4
stucen gevel,0,0,0,19,15,-4,9,9.3
gevelreiniging halsteren,0,0,0,4,0,-4,27.2,0
steenstrips stucen,0,0,0,4,0,-4,1,0
sierpleister repareren,0,0,0,4,0,-4,44,0
buitengevelisolatie kosten,0,0,0,4,0,-4,13.2,0
stucwerk buiten,0,0,0,4,0,-4,11,0
wat kost gevelisolatie,0,0,0,7,3,-4,21.6,62
kosten keimen gevel,0,0,0,17,14,-3,23.8,19.6
