cluster,query,expected_bm_page,bm_position,bm_url,top10_aggregator,top10_contractor,top10_media,top10_retail,top10_gov,top_nonagg_domain,top_nonagg_url,top_nonagg_type,top_nonagg_pos,serp_features
core,buitengevelisolatie,/gevelisolatie/,,,0,7,2,0,1,www.bewi-isobouw.nl,https://www.bewi-isobouw.nl/nl/producten/gevelisolatie/polystuc-buitengevelisolatie/,contractor,1,images|people_also_ask|people_also_search|related_searches|video
core,buitenmuur isoleren,/gevelisolatie/,,,0,5,3,1,1,www.jandeisolatieman.nl,https://www.jandeisolatieman.nl/kennisbank/hoe-moet-ik-een-buitenmuur-isoleren,contractor,5,ai_overview|images|people_also_ask|people_also_search|popular_products|related_searches|video
core,buitenmuur isoleren buitenkant,/gevelisolatie/,,,0,6,2,1,1,www.gevelrenovatie-info.nl,https://www.gevelrenovatie-info.nl/gevelisolatie/buitenmuur-isoleren,media_costguide,2,images|people_also_ask|people_also_search|related_searches|video
core,gevel isoleren,/gevelisolatie/,,,2,5,2,0,1,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,1,images|people_also_ask|people_also_search|related_searches|video
core,gevel van buiten isoleren,/gevelisolatie/,,,0,6,3,0,1,www.gevelrenovatie-info.nl,https://www.gevelrenovatie-info.nl/gevelisolatie/buitenmuur-isoleren,media_costguide,2,images|people_also_ask|people_also_search|related_searches|video
core,gevelisolatie,/gevelisolatie/,,,0,6,3,0,1,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,1,images|local_pack|people_also_ask|people_also_search|related_searches
kosten,buitengevelisolatie kosten,/gevelisolatie/kosten/,,,1,4,4,0,1,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,2,ai_overview|images|people_also_ask|related_searches
kosten,gevelisolatie kosten,/gevelisolatie/kosten/,,,1,4,5,0,0,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,2,ai_overview|images|people_also_ask|people_also_search|related_searches
kosten,gevelisolatie prijs m2,/gevelisolatie/kosten/,,,2,5,3,0,0,www.buitenmuurisoleren.be,https://www.buitenmuurisoleren.be/muurisolatie/prijs-muurisolatie/,contractor,2,ai_overview|people_also_ask|people_also_search|related_searches
kosten,kosten buitenmuur isoleren,/gevelisolatie/kosten/,,,1,3,5,0,1,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,2,ai_overview|images|people_also_ask|related_searches
kosten,kosten gevelisolatie,/gevelisolatie/kosten/,,,1,6,3,0,0,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,2,featured_snippet|people_also_ask|people_also_search|related_searches
kosten,wat kost gevelisolatie,/gevelisolatie/kosten/,,,1,5,4,0,0,www.eigenhuis.nl,https://www.eigenhuis.nl/verduurzamen/isoleren-en-ventileren/gevelisolatie,media_costguide,2,ai_overview|people_also_ask|people_also_search|related_searches
afwerking,buitengevelisolatie met steenstrips,/gevelisolatie/afwerkingen/,,,1,6,3,0,0,www.vandersanden.com,https://www.vandersanden.com/nl-be/net-nieuw-gevels-na-isoleren-met-e-board-en-steenstrips,contractor,1,images|people_also_ask|people_also_search|popular_products|related_searches|video
afwerking,gevel isoleren en bekleden,/gevelisolatie/afwerkingen/,,,0,6,4,0,0,www.gevelbekleding-info.nl,https://www.gevelbekleding-info.nl/buitenmuur-bekleden/,media_costguide,2,ai_overview|images|people_also_ask|people_also_search|related_searches|video
afwerking,gevelisolatie crepi,/gevelisolatie/afwerkingen/,,,1,8,1,0,0,www.crepi.nl,https://www.crepi.nl/gevelisolatie-crepi,contractor,1,images|local_pack|people_also_ask|people_also_search|related_searches|video
afwerking,gevelisolatie met steenstrips,/gevelisolatie/afwerkingen/,,,1,5,4,0,0,www.vandersanden.com,https://www.vandersanden.com/nl-be/net-nieuw-gevels-na-isoleren-met-e-board-en-steenstrips,contractor,1,images|people_also_ask|people_also_search|popular_products|related_searches|video
afwerking,gevelisolatie met stucwerk,/gevelisolatie/afwerkingen/,,,0,10,0,0,0,isolex.nl,https://isolex.nl/buitengevel-stucwerk/,contractor,2,ai_overview|images|people_also_ask|people_also_search|related_searches
city,buitengevelisolatie rotterdam,/gevelisolatie/rotterdam/,,,1,9,0,0,0,ijsselmonde.org,https://ijsselmonde.org/,contractor,1,local_pack|related_searches
city,gevelisolatie breda,/gevelisolatie/breda/,,,1,9,0,0,0,www.plusisolatie.nl,https://www.plusisolatie.nl/plaats/isolatiebedrijf-breda,contractor,6,compare_sites|local_pack|people_also_ask|people_also_search
city,gevelisolatie delft,/gevelisolatie/delft/,,,2,8,0,0,0,www.plusisolatie.nl,https://www.plusisolatie.nl/plaats/isolatiebedrijf-delft,contractor,4,local_pack
city,gevelisolatie den haag,/gevelisolatie/den-haag/,,,2,8,0,0,0,isolatiebedrijfgroen.nl,https://isolatiebedrijfgroen.nl/,contractor,4,local_pack|people_also_ask|people_also_search|related_searches
city,gevelisolatie dordrecht,/gevelisolatie/dordrecht/,,,1,9,0,0,0,www.plusisolatie.nl,https://www.plusisolatie.nl/plaats/isolatiebedrijf-dordrecht,contractor,4,images|local_pack
city,gevelisolatie gouda,/gevelisolatie/gouda/,,,1,9,0,0,0,www.isolatiespecialist.nl,https://www.isolatiespecialist.nl/zuid-holland/gouda/,contractor,4,local_pack|related_searches
city,gevelisolatie leiden,/gevelisolatie/leiden/,,,1,9,0,0,0,aulaisolatie.nl,https://aulaisolatie.nl/spouwmuurisolatie-in-leiden/,contractor,4,local_pack|people_also_search
