query,impr_prev,impr_cur,d_impr,clicks_prev,clicks_cur,d_clicks,pos_prev,pos_cur,d_pos,ctr_prev,ctr_cur,flags
gevelisolatie zoetermeer,240,74,-166,0,0,0,20.27,22.22,1.9,0,0,impr_no_clicks
gevelisolatie breda,124,0,-124,0,0,0,19.9,0,,0,0,lost_query
gevelisolatie rotterdam,218,101,-117,0,0,0,12.39,16.62,4.2,0,0,impr_no_clicks
gevelisolatie leiden,123,28,-95,0,0,0,7.76,7.11,-0.6,0,0,
buitengevelisolatie,108,30,-78,0,0,0,39.16,43.37,4.2,0,0,impr_no_clicks
gevelisolatie kosten,124,56,-68,0,0,0,30.71,52.68,22.0,0,0,fell_gt5pos|impr_no_clicks
kosten gevelisolatie,85,30,-55,0,0,0,21,51.8,30.8,0,0,fell_gt5pos|impr_no_clicks
gevelisolatie almere,57,10,-47,0,0,0,36.39,33.9,-2.5,0,0,
sausklaar stucen nieuwbouw,86,46,-40,0,0,0,25.44,24.76,-0.7,0,0,impr_no_clicks
isolatie maassluis,39,0,-39,0,0,0,23.33,0,,0,0,lost_query
buitenstucwerk,61,23,-38,0,0,0,31.97,33.78,1.8,0,0,
gevel stucen,99,63,-36,0,2,2,4.09,3.84,-0.2,0,0.0317,
isoleren maassluis,36,0,-36,0,0,0,36.94,0,,0,0,lost_query
klussenbedrijf 010 rotterdam vlaardingen,36,4,-32,0,0,0,37.56,37,-0.6,0,0,
buiten stucwerk,33,2,-31,0,0,0,23.85,44,20.1,0,0,fell_gt5pos
buitenmuur stucen nadelen,59,28,-31,0,0,0,6.42,14.61,8.2,0,0,fell_gt5pos
klussenbedrijf 010 vlaardingen rotterdam,27,0,-27,0,0,0,34.33,0,,0,0,lost_query
behangklare wanden afwerken,26,0,-26,0,0,0,66.81,0,,0,0,lost_query
gevel keimen of schilderen,30,5,-25,0,0,0,70.03,69.2,-0.8,0,0,
behangklaar muren,32,7,-25,0,0,0,69.91,48.57,-21.3,0,0,
