query,n_pages,actual_owner,owner_impr,owner_pos,expected_page,wrong_owner
sausklaar stucen,1,/muren-stucen/,277,21.29,/muren-stucen/,no
sausklaar stucwerk,1,/muren-stucen/,233,41.55,/muren-stucen/,no
behangklaar stucen,1,/muren-stucen/,172,38.56,/muren-stucen/,no
gevelrenovatie met folie in rotterdam,1,/,144,20.76,/gevelisolatie/rotterdam/ (city),yes
behangklaar stucwerk,1,/muren-stucen/,141,42.77,/muren-stucen/,no
gevelisolatie rotterdam,2,/,101,16.62,/gevelisolatie/rotterdam/ (city),yes
behangklaar wanden,1,/muren-stucen/,98,49.82,?,no
gevel schilder,1,/gevel-schilderen/,90,34.76,/gevel-schilderen/,no
bm,1,/,86,6.02,?,no
gevelisolatie zoetermeer,1,/gevelisolatie/zoetermeer/,74,22.22,/gevelisolatie/zoetermeer/ (city),no
stucwerk sausklaar,1,/muren-stucen/,72,43.94,/muren-stucen/,no
gevel stucen,1,/buiten-stucwerk/,63,3.84,/buiten-stucwerk/,no
gevelisolatie kosten,1,/gevelisolatie/kosten/,56,52.68,/gevelisolatie/kosten/,no
etics systeem,1,/gevelisolatie/,46,5.28,?,no
sausklaar stucen nieuwbouw,1,/muren-stucen/,46,24.76,/muren-stucen/,no
wanden behangklaar,1,/muren-stucen/,42,53.79,?,no
buitengevel isoleren en stucen prijs,2,/buiten-stucwerk/,41,11.54,/buiten-stucwerk/ or /muren-stucen/,no
etics,2,/gevelisolatie/kosten/,39,1.33,?,no
stucen behangklaar,1,/muren-stucen/,36,32.25,/muren-stucen/,no
crepi afwerking,1,/gevelisolatie/afwerkingen/,35,16.31,/gevelisolatie/afwerkingen/,no
prijs spachtelputz,1,/sierpleister/,31,46.68,/sierpleister/,no
sausklaar maken muren,1,/muren-stucen/,31,23.61,?,no
buitengevelisolatie,1,/gevelisolatie/,30,43.37,/gevelisolatie/,no
kosten gevelisolatie,1,/gevelisolatie/kosten/,30,51.8,/gevelisolatie/kosten/,no
gevel schilderen rijnsburg,1,/gevel-schilderen/,29,44.28,/gevel-schilderen/,no
buitenmuur stucen nadelen,1,/buiten-stucwerk/,28,14.61,/buiten-stucwerk/,no
gevelisolatie leiden,1,/gevelisolatie/leiden/,28,7.11,/gevelisolatie/leiden/ (city),no
gevel laten schilderen,1,/gevel-schilderen/,27,41.81,/gevel-schilderen/,no
gevel schilderen en beschermen tegen weersinvloeden,1,/gevel-schilderen/,27,47.26,/gevel-schilderen/,no
gevel sierpleister,2,/sierpleister/,27,24.93,/sierpleister/,no
