normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,brand_nonbrand_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,in_gsc_queries,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,gsc_total_clicks,gsc_total_impressions,gsc_weighted_ctr,gsc_best_position_guess,gsc_distinct_pages_count,gsc_possible_cannibalization_guess,gsc_top_page_guess,gsc_top_page_clicks,gsc_top_page_impressions,gsc_top_page_route_guess,gsc_top_page_type_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,seo_opportunity_type,seo_opportunity_reason,ppc_seo_overlap_guess,ppc_seo_notes,ads_priority_guess,keep_review_pause_guess,notes
1 steens buitenmuur isoleren,1 steens buitenmuur isoleren,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,79,0.368464,1.239837,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
1 steens muur isoleren,1 steens muur isoleren,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,20,HIGH,86,0.25836,1.48173,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,low,none,,in_planner_only,"planner demand only, no ads or organic",,,
2 cm isolatie,2 cm isolatie,other,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,100,0.127272,2.212486,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,none,,in_planner_only,"planner demand only, no ads or organic",,,
aannemer archipelbuurt,aannemer archipelbuurt,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,104.0,1,False,https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,1,/gevelisolatie/den-haag/,city,/gevelisolatie/den-haag/,city,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
aannemer gevelisolatie,aannemer gevelisolatie,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
aannemer klussen,aannemer klussen,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,1.0,1,False,https://bm-klus-bv.nl/,0,2,/,home,/,home,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
aannemer voor verbouwing huis,aannemer voor verbouwing huis,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
aannemersbedrijf klus,aannemersbedrijf klus,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0.0,42.29,1,False,https://bm-klus-bv.nl/,0,7,/,home,/,home,medium,"from GSC top page (0 clicks, 7 impr)",low,weak_signal,"7 impr, pos 42.3",in_gsc_only,"organic only, no ads presence",,,
aerogel isolatie buitenmuur,aerogel isolatie buitenmuur,other,commercial_investigative,nl,NL,nonbrand,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1,1,0.44,0.0,Gevelisolatie - Core,,,False,,,,,,,,,,,,,,,,,none,,in_ads_only,"paid only, no organic signal in GSC",,,
afbouw aannemer,afbouw aannemer,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,8.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
afgebladderde buitenmuur verven,afgebladderde buitenmuur verven,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,42.5,1,False,https://bm-klus-bv.nl/gevel-schilderen/,0,2,/gevel-schilderen/,service,/gevel-schilderen/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
afwerkingen en renovaties rotterdam,afwerkingen en renovaties rotterdam,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
b m,b m,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0.0,2.33,1,False,https://bm-klus-bv.nl/,0,6,/,home,/,home,medium,"from GSC top page (0 clicks, 6 impr)",low,weak_signal,"6 impr, pos 2.3",in_gsc_only,"organic only, no ads presence",,,
b&m,b&m,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,2.0,2,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
b+m,b+m,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0.0,3.57,1,False,https://bm-klus-bv.nl/,0,7,/,home,/,home,medium,"from GSC top page (0 clicks, 7 impr)",low,weak_signal,"7 impr, pos 3.6",in_gsc_only,"organic only, no ads presence",,,
b.m,b.m,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0.0,3.14,1,False,https://bm-klus-bv.nl/,0,7,/,home,/,home,medium,"from GSC top page (0 clicks, 7 impr)",low,weak_signal,"7 impr, pos 3.1",in_gsc_only,"organic only, no ads presence",,,
b.m.,b.m.,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
b.m..,b.m..,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,2.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
