page,total_clicks,total_impressions,weighted_ctr,avg_position,distinct_queries_count,page_type_guess,route_match_guess
https://bm-klus-bv.nl/,51,1624,0.031404,22.92,79,home,/
https://bm-klus-bv.nl/gevelisolatie/,7,2914,0.002402,34.96,67,service,/gevelisolatie/
https://bm-klus-bv.nl/buiten-stucwerk/,3,2689,0.001116,30.1,143,service,/buiten-stucwerk/
https://bm-klus-bv.nl/contact/,1,65,0.015385,2.48,1,utility,/contact/
https://bm-klus-bv.nl/over_ons/,1,152,0.006579,14.68,4,,/over_ons/
https://bm-klus-bv.nl/gevelisolatie/leiden/,1,197,0.005076,6.37,3,city,/gevelisolatie/leiden/
https://bm-klus-bv.nl/gevelisolatie/kosten/,1,101,0.009901,17.86,14,cluster,/gevelisolatie/kosten/
https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,173,0.0,10.5,6,city,/gevelisolatie/den-haag/
https://bm-klus-bv.nl/gevel-schilderen/,0,576,0.0,40.4,38,service,/gevel-schilderen/
https://bm-klus-bv.nl/over-ons/,0,9,0.0,4.45,3,utility,/over-ons/
https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,1143,0.0,35.93,19,service,/schoonmaak-na-verbouwing/
https://bm-klus-bv.nl/muren-stucen/,0,823,0.0,32.2,50,service,/muren-stucen/
https://bm-klus-bv.nl/diensten/,0,80,0.0,8.62,4,service,/diensten/
https://bm-klus-bv.nl/gevelisolatie/delft/,0,1,0.0,6.0,1,city,/gevelisolatie/delft/
https://bm-klus-bv.nl/gevelisolatie/dordrecht/,0,4,0.0,25.25,2,city,/gevelisolatie/dordrecht/
https://bm-klus-bv.nl/gevelisolatie/rotterdam/,0,49,0.0,32.65,4,city,/gevelisolatie/rotterdam/
https://bm-klus-bv.nl/gevelisolatie/vlaardingen/,0,7,0.0,12.86,3,city,/gevelisolatie/vlaardingen/
https://bm-klus-bv.nl/muren-stucen-2/,0,32,0.0,52.84,7,,/muren-stucen-2/
https://bm-klus-bv.nl/object6/,0,1,0.0,12.0,1,,/object6/
https://bm-klus-bv.nl/object7/,0,3,0.0,6.0,2,,/object7/
https://bm-klus-bv.nl/onze-werken/,0,176,0.0,28.6,7,archive,/onze-werken/
https://bm-klus-bv.nl/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,0,3,0.0,21.67,2,project,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/
https://bm-klus-bv.nl/sierpleister/,0,334,0.0,39.65,29,service,/sierpleister/
https://bm-klus-bv.nl/gevelisolatie/subsidie-vergunning/,0,3,0.0,5.67,2,cluster,/gevelisolatie/subsidie-vergunning/
https://bm-klus-bv.nl/vlaardingen-gevelisolatie-6cm-sierpleister-15mm/,0,18,0.0,38.72,1,,/vlaardingen-gevelisolatie-6cm-sierpleister-15mm/
https://bm-klus-bv.nl/gevelisolatie/capelle-aan-den-ijssel/,0,1,0.0,10.0,1,city,/gevelisolatie/capelle-aan-den-ijssel/
https://bm-klus-bv.nl/gevelisolatie/afwerkingen/,0,21,0.0,23.52,8,cluster,/gevelisolatie/afwerkingen/
https://bm-klus-bv.nl/gevelisolatie/rc-waarde-dikte/,0,109,0.0,62.7,18,cluster,/gevelisolatie/rc-waarde-dikte/
https://bm-klus-bv.nl/images/projects/halsteren-buitenstucwerk-na-01.webp,0,1,0.0,2.0,1,,/images/projects/halsteren-buitenstucwerk-na-01.webp/
https://bm-klus-bv.nl/gevelisolatie-woning-almere-35m2-sierpleister/,0,828,0.0,13.3,1,,/gevelisolatie-woning-almere-35m2-sierpleister/
https://bm-klus-bv.nl/gevelisolatie/alphen-aan-den-rijn/,0,1,0.0,10.0,1,city,/gevelisolatie/alphen-aan-den-rijn/
https://bm-klus-bv.nl/gevelisolatie/breda/,0,6,0.0,16.17,1,city,/gevelisolatie/breda/
https://bm-klus-bv.nl/gevelisolatie/gouda/,0,1,0.0,4.0,1,city,/gevelisolatie/gouda/
https://bm-klus-bv.nl/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,0,1,0.0,8.0,1,project,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/
https://bm-klus-bv.nl/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,0,1,0.0,7.0,1,,/gevelisolatie-woning-vlaardingen-10cm-sierpleister/
https://bm-klus-bv.nl/wp-content/uploads/2025/10/stuc-gladde-strakke-afwerking.jpg,0,1,0.0,24.0,1,,/wp-content/uploads/2025/10/stuc-gladde-strakke-afwerking.jpg/
https://bm-klus-bv.nl/images/muren-stucen-voordelen.webp,0,1,0.0,12.0,1,,/images/muren-stucen-voordelen.webp/
