query,normalized_query,total_clicks,total_impressions,weighted_ctr,best_position_guess,distinct_pages_count,possible_cannibalization_guess,query_intent_guess,query_theme_guess
bm klus bv,bm klus bv,49,489,0.100204,1.06,21,True,navigational,other
etics gevelisolatie,etics gevelisolatie,2,14,0.142857,5.64,1,False,commercial_investigative,core_isolation
gevelisolatie rotterdam,gevelisolatie rotterdam,2,1369,0.001461,8,6,True,commercial_investigative,core_isolation
bm bv,bm bv,1,7,0.142857,4.43,1,False,commercial_investigative,other
boris mitov,boris mitov,1,2,0.5,1.5,1,False,commercial_investigative,other
buitengevelisolatie,buitengevelisolatie,1,517,0.001934,28.66,1,False,commercial_investigative,core_isolation
buitenmuur stucen nadelen,buitenmuur stucen nadelen,1,129,0.007752,5.26,1,False,informational,stuc_crepi
etics isolatie,etics isolatie,1,34,0.029412,5.18,1,False,commercial_investigative,core_isolation
etics systeem,etics systeem,1,37,0.027027,8.03,1,False,commercial_investigative,core_isolation
gevel stucen,gevel stucen,1,74,0.013514,4.14,1,False,commercial_investigative,stuc_crepi
gevelisolatie leiden,gevelisolatie leiden,1,337,0.002967,6.36,2,False,commercial_investigative,core_isolation
gevelisolatie steenstrips prijs,gevelisolatie steenstrips prijs,1,9,0.111111,7.56,1,False,commercial,prijs_kosten
gevelisolatie stucwerk,gevelisolatie stucwerk,1,5,0.2,4,2,False,commercial_investigative,stuc_crepi
isolatie rotterdam,isolatie rotterdam,1,1,1.0,2,1,False,commercial_investigative,other
roofing contractor rotterdam,roofing contractor rotterdam,1,1,1.0,38,1,False,commercial_investigative,other
aannemer archipelbuurt,aannemer archipelbuurt,0,1,0.0,104,1,False,commercial_investigative,other
aannemer klussen,aannemer klussen,0,2,0.0,1,1,False,commercial_investigative,other
aannemer voor verbouwing huis,aannemer voor verbouwing huis,0,1,0.0,1,1,False,commercial_investigative,other
aannemersbedrijf klus,aannemersbedrijf klus,0,7,0.0,42.29,1,False,commercial_investigative,other
afbouw aannemer,afbouw aannemer,0,1,0.0,8,1,False,commercial_investigative,other
afgebladderde buitenmuur verven,afgebladderde buitenmuur verven,0,2,0.0,42.5,1,False,commercial_investigative,other
afwerkingen en renovaties rotterdam,afwerkingen en renovaties rotterdam,0,1,0.0,1,1,False,commercial_investigative,other
b m,b m,0,6,0.0,2.33,1,False,commercial_investigative,other
b&m,b&m,0,2,0.0,2,2,False,commercial_investigative,other
b+m,b+m,0,7,0.0,3.57,1,False,commercial_investigative,other
b.m,b.m,0,7,0.0,3.14,1,False,commercial_investigative,other
b.m.,b.m.,0,1,0.0,1,1,False,commercial_investigative,other
b.m..,b.m..,0,1,0.0,2,1,False,commercial_investigative,other
badkamer schoonmaken na verbouwing,badkamer schoonmaken na verbouwing,0,4,0.0,71.25,1,False,commercial_investigative,other
bakstenen muur stucen,bakstenen muur stucen,0,1,0.0,3,1,False,commercial_investigative,stuc_crepi
bbouw,bbouw,0,1,0.0,8,1,False,commercial_investigative,other
beamix cementgebonden stucmortel,beamix cementgebonden stucmortel,0,1,0.0,4,1,False,commercial_investigative,stuc_crepi
behangklaar en sausklaar,behangklaar en sausklaar,0,14,0.0,25.36,1,False,commercial_investigative,other
behangklaar muren,behangklaar muren,0,3,0.0,58,1,False,commercial_investigative,other
behangklaar muur nieuwbouw,behangklaar muur nieuwbouw,0,1,0.0,59,1,False,commercial_investigative,other
behangklaar naar sausklaar,behangklaar naar sausklaar,0,4,0.0,24.25,1,False,commercial_investigative,other
behangklaar of sausklaar,behangklaar of sausklaar,0,17,0.0,31.88,1,False,commercial_investigative,other
behangklaar sausklaar maken,behangklaar sausklaar maken,0,3,0.0,31.33,1,False,commercial_investigative,other
behangklaar stucen,behangklaar stucen,0,108,0.0,35.63,1,False,commercial_investigative,stuc_crepi
behangklaar stucwerk,behangklaar stucwerk,0,68,0.0,37.74,1,False,commercial_investigative,stuc_crepi
behangklaar stuken,behangklaar stuken,0,2,0.0,29,1,False,commercial_investigative,other
behangklaar stuukwerk,behangklaar stuukwerk,0,3,0.0,34,1,False,commercial_investigative,other
behangklaar wanden,behangklaar wanden,0,18,0.0,52.44,1,False,commercial_investigative,other
behangklare muren,behangklare muren,0,1,0.0,88,1,False,commercial_investigative,other
behangklare muren sausklaar maken,behangklare muren sausklaar maken,0,1,0.0,42,1,False,commercial_investigative,other
behangklare wanden afwerken,behangklare wanden afwerken,0,14,0.0,56.93,1,False,commercial_investigative,other
best bm,best bm,0,1,0.0,7,1,False,commercial_investigative,other
betonlook stucwerk,betonlook stucwerk,0,1,0.0,1,1,False,commercial_investigative,stuc_crepi
betonstuc buiten,betonstuc buiten,0,29,0.0,21.69,1,False,commercial_investigative,stuc_crepi
betonstuc buitengevel,betonstuc buitengevel,0,3,0.0,17.33,1,False,commercial_investigative,stuc_crepi
betonstuc buitenmuur,betonstuc buitenmuur,0,4,0.0,22,1,False,commercial_investigative,stuc_crepi
binnen stucwerk,binnen stucwerk,0,2,0.0,40,1,False,commercial_investigative,stuc_crepi
bloembak buiten stucen,bloembak buiten stucen,0,1,0.0,2,1,False,commercial_investigative,stuc_crepi
bm,bm,0,275,0.0,3.99,1,False,commercial_investigative,other
bm afbouw,bm afbouw,0,60,0.0,7.33,2,False,commercial_investigative,other
bm bouw,bm bouw,0,23,0.0,8,1,False,commercial_investigative,other
bm construction,bm construction,0,1,0.0,3,1,False,commercial_investigative,other
bm holland,bm holland,0,11,0.0,52,2,False,commercial_investigative,other
bm hus,bm hus,0,3,0.0,12.33,1,False,commercial_investigative,other
bm nummer,bm nummer,0,1,0.0,5,1,False,commercial_investigative,other
bm services,bm services,0,3,0.0,4,1,False,commercial_investigative,other
"bm,","bm,",0,1,0.0,5,1,False,commercial_investigative,other
bm.,bm.,0,2,0.0,9,1,False,commercial_investigative,other
bml,bml,0,1,0.0,1,1,False,commercial_investigative,other
bmm afbouw,bmm afbouw,0,3,0.0,5,1,False,commercial_investigative,other
bostik w140 buiten,bostik w140 buiten,0,1,0.0,5,1,False,commercial_investigative,other
bouw bedrijf,bouw bedrijf,0,6,0.0,4.5,1,False,commercial_investigative,other
bouw werken,bouw werken,0,1,0.0,2,1,False,commercial_investigative,other
bouwbedrijf,bouwbedrijf,0,3,0.0,5,1,False,commercial_investigative,other
bouwbedrijf klus,bouwbedrijf klus,0,83,0.0,10.69,1,False,commercial_investigative,other
bouwbedrijf rotterdam,bouwbedrijf rotterdam,0,2,0.0,4,1,False,commercial_investigative,other
bouwbedrijf zuid limburg,bouwbedrijf zuid limburg,0,1,0.0,7,1,False,commercial_investigative,other
buiten muur stucen,buiten muur stucen,0,4,0.0,10,1,False,commercial_investigative,stuc_crepi
buiten sierpleister,buiten sierpleister,0,3,0.0,18.5,2,False,commercial_investigative,stuc_crepi
buiten spachtelputz,buiten spachtelputz,0,1,0.0,69,1,False,commercial_investigative,stuc_crepi
buiten stuc,buiten stuc,0,2,0.0,36.5,1,False,commercial_investigative,stuc_crepi
buiten stucen,buiten stucen,0,3,0.0,28.33,1,False,commercial_investigative,stuc_crepi
buiten stucmortel,buiten stucmortel,0,3,0.0,26.33,1,False,commercial_investigative,stuc_crepi
buiten stucwerk,buiten stucwerk,0,216,0.0,37.81,1,False,commercial_investigative,stuc_crepi
buiten stucwerk kosten,buiten stucwerk kosten,0,164,0.0,32.95,1,False,commercial,prijs_kosten
buiten stucwerk materiaal,buiten stucwerk materiaal,0,39,0.0,1.31,1,False,commercial_investigative,materialen
buiten stucwerk op kleur,buiten stucwerk op kleur,0,1,0.0,32,1,False,commercial_investigative,stuc_crepi
buiten stucwerk prijs,buiten stucwerk prijs,0,128,0.0,38.92,1,False,commercial,prijs_kosten
buiten stucwerk repareren,buiten stucwerk repareren,0,1,0.0,34,1,False,commercial_investigative,stuc_crepi
buiten stucwerk subsidie,buiten stucwerk subsidie,0,9,0.0,8,2,False,commercial_investigative,subsidie_vergunning
buiten stucwerk valkenswaard,buiten stucwerk valkenswaard,0,10,0.0,70.8,1,False,commercial_investigative,stuc_crepi
