query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
bm klus bv,bm klus bv,https://bm-klus-bv.nl/,47,80,0.5875,1.06,navigational,other,/,home,high,
etics gevelisolatie,etics gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/,2,14,0.142857,5.64,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
bm bv,bm bv,https://bm-klus-bv.nl/,1,7,0.142857,4.43,commercial_investigative,other,/,home,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/buiten-stucwerk/,1,69,0.014493,2.36,navigational,other,/buiten-stucwerk/,service,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/contact/,1,65,0.015385,2.48,navigational,other,/contact/,utility,high,
boris mitov,boris mitov,https://bm-klus-bv.nl/over_ons/,1,2,0.5,1.5,commercial_investigative,other,/over_ons/,,low,
buitengevelisolatie,buitengevelisolatie,https://bm-klus-bv.nl/gevelisolatie/,1,517,0.001934,28.66,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
buitenmuur stucen nadelen,buitenmuur stucen nadelen,https://bm-klus-bv.nl/buiten-stucwerk/,1,129,0.007752,5.26,informational,stuc_crepi,/buiten-stucwerk/,service,high,
etics isolatie,etics isolatie,https://bm-klus-bv.nl/gevelisolatie/,1,34,0.029412,5.18,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
etics systeem,etics systeem,https://bm-klus-bv.nl/gevelisolatie/,1,37,0.027027,8.03,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevel stucen,gevel stucen,https://bm-klus-bv.nl/buiten-stucwerk/,1,74,0.013514,4.14,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevelisolatie leiden,gevelisolatie leiden,https://bm-klus-bv.nl/gevelisolatie/leiden/,1,195,0.005128,6.36,commercial_investigative,core_isolation,/gevelisolatie/leiden/,city,high,
gevelisolatie rotterdam,gevelisolatie rotterdam,https://bm-klus-bv.nl/,1,317,0.003155,34.59,commercial_investigative,core_isolation,/,home,high,
gevelisolatie rotterdam,gevelisolatie rotterdam,https://bm-klus-bv.nl/gevelisolatie/,1,941,0.001063,12.3,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie steenstrips prijs,gevelisolatie steenstrips prijs,https://bm-klus-bv.nl/gevelisolatie/kosten/,1,9,0.111111,7.56,commercial,prijs_kosten,/gevelisolatie/kosten/,cluster,high,
gevelisolatie stucwerk,gevelisolatie stucwerk,https://bm-klus-bv.nl/gevelisolatie/,1,4,0.25,10.5,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
isolatie rotterdam,isolatie rotterdam,https://bm-klus-bv.nl/,1,1,1,2,commercial_investigative,other,/,home,high,
roofing contractor rotterdam,roofing contractor rotterdam,https://bm-klus-bv.nl/,1,1,1,38,commercial_investigative,other,/,home,high,
aannemer archipelbuurt,aannemer archipelbuurt,https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,1,0,104,commercial_investigative,other,/gevelisolatie/den-haag/,city,high,
aannemer klussen,aannemer klussen,https://bm-klus-bv.nl/,0,2,0,1,commercial_investigative,other,/,home,high,
aannemer voor verbouwing huis,aannemer voor verbouwing huis,https://bm-klus-bv.nl/,0,1,0,1,commercial_investigative,other,/,home,high,
aannemersbedrijf klus,aannemersbedrijf klus,https://bm-klus-bv.nl/,0,7,0,42.29,commercial_investigative,other,/,home,high,
afbouw aannemer,afbouw aannemer,https://bm-klus-bv.nl/,0,1,0,8,commercial_investigative,other,/,home,high,
afgebladderde buitenmuur verven,afgebladderde buitenmuur verven,https://bm-klus-bv.nl/gevel-schilderen/,0,2,0,42.5,commercial_investigative,other,/gevel-schilderen/,service,high,
afwerkingen en renovaties rotterdam,afwerkingen en renovaties rotterdam,https://bm-klus-bv.nl/,0,1,0,1,commercial_investigative,other,/,home,high,
b m,b m,https://bm-klus-bv.nl/,0,6,0,2.33,commercial_investigative,other,/,home,high,
b&m,b&m,https://bm-klus-bv.nl/,0,1,0,2,commercial_investigative,other,/,home,high,
b&m,b&m,https://bm-klus-bv.nl/over-ons/,0,1,0,2,commercial_investigative,other,/over-ons/,utility,high,
b+m,b+m,https://bm-klus-bv.nl/,0,7,0,3.57,commercial_investigative,other,/,home,high,
b.m,b.m,https://bm-klus-bv.nl/,0,7,0,3.14,commercial_investigative,other,/,home,high,
b.m.,b.m.,https://bm-klus-bv.nl/,0,1,0,1,commercial_investigative,other,/,home,high,
b.m..,b.m..,https://bm-klus-bv.nl/,0,1,0,2,commercial_investigative,other,/,home,high,
badkamer schoonmaken na verbouwing,badkamer schoonmaken na verbouwing,https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,4,0,71.25,commercial_investigative,other,/schoonmaak-na-verbouwing/,service,high,
bakstenen muur stucen,bakstenen muur stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,3,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
bbouw,bbouw,https://bm-klus-bv.nl/,0,1,0,8,commercial_investigative,other,/,home,high,
beamix cementgebonden stucmortel,beamix cementgebonden stucmortel,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,4,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
behangklaar en sausklaar,behangklaar en sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,14,0,25.36,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar muren,behangklaar muren,https://bm-klus-bv.nl/muren-stucen/,0,3,0,58,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar muur nieuwbouw,behangklaar muur nieuwbouw,https://bm-klus-bv.nl/muren-stucen/,0,1,0,59,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar naar sausklaar,behangklaar naar sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,4,0,24.25,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar of sausklaar,behangklaar of sausklaar,https://bm-klus-bv.nl/muren-stucen/,0,17,0,31.88,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar sausklaar maken,behangklaar sausklaar maken,https://bm-klus-bv.nl/muren-stucen/,0,3,0,31.33,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar stucen,behangklaar stucen,https://bm-klus-bv.nl/muren-stucen/,0,108,0,35.63,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
behangklaar stucwerk,behangklaar stucwerk,https://bm-klus-bv.nl/muren-stucen/,0,68,0,37.74,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
behangklaar stuken,behangklaar stuken,https://bm-klus-bv.nl/muren-stucen/,0,2,0,29,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar stuukwerk,behangklaar stuukwerk,https://bm-klus-bv.nl/muren-stucen/,0,3,0,34,commercial_investigative,other,/muren-stucen/,service,high,
behangklaar wanden,behangklaar wanden,https://bm-klus-bv.nl/muren-stucen/,0,18,0,52.44,commercial_investigative,other,/muren-stucen/,service,high,
behangklare muren,behangklare muren,https://bm-klus-bv.nl/muren-stucen/,0,1,0,88,commercial_investigative,other,/muren-stucen/,service,high,
behangklare muren sausklaar maken,behangklare muren sausklaar maken,https://bm-klus-bv.nl/muren-stucen/,0,1,0,42,commercial_investigative,other,/muren-stucen/,service,high,
behangklare wanden afwerken,behangklare wanden afwerken,https://bm-klus-bv.nl/muren-stucen/,0,14,0,56.93,commercial_investigative,other,/muren-stucen/,service,high,
best bm,best bm,https://bm-klus-bv.nl/,0,1,0,7,commercial_investigative,other,/,home,high,
betonlook stucwerk,betonlook stucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,1,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
betonstuc buiten,betonstuc buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,29,0,21.69,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
betonstuc buitengevel,betonstuc buitengevel,https://bm-klus-bv.nl/buiten-stucwerk/,0,3,0,17.33,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
betonstuc buitenmuur,betonstuc buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,4,0,22,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
binnen stucwerk,binnen stucwerk,https://bm-klus-bv.nl/muren-stucen/,0,2,0,40,commercial_investigative,stuc_crepi,/muren-stucen/,service,high,
bloembak buiten stucen,bloembak buiten stucen,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
bm,bm,https://bm-klus-bv.nl/,0,275,0,3.99,commercial_investigative,other,/,home,high,
bm afbouw,bm afbouw,https://bm-klus-bv.nl/,0,5,0,7.8,commercial_investigative,other,/,home,high,
bm afbouw,bm afbouw,https://bm-klus-bv.nl/over_ons/,0,55,0,7.33,commercial_investigative,other,/over_ons/,,low,
bm bouw,bm bouw,https://bm-klus-bv.nl/,0,23,0,8,commercial_investigative,other,/,home,high,
bm construction,bm construction,https://bm-klus-bv.nl/,0,1,0,3,commercial_investigative,other,/,home,high,
bm holland,bm holland,https://bm-klus-bv.nl/,0,6,0,56.5,commercial_investigative,other,/,home,high,
bm holland,bm holland,https://bm-klus-bv.nl/diensten/,0,5,0,52,commercial_investigative,other,/diensten/,service,high,
bm hus,bm hus,https://bm-klus-bv.nl/,0,3,0,12.33,commercial_investigative,other,/,home,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/diensten/,0,63,0,2.44,navigational,other,/diensten/,service,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/,0,12,0,1.83,navigational,other,/gevelisolatie/,service,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/delft/,0,1,0,6,navigational,other,/gevelisolatie/delft/,city,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,2,0,2,navigational,other,/gevelisolatie/den-haag/,city,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/dordrecht/,0,3,0,2,navigational,other,/gevelisolatie/dordrecht/,city,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/leiden/,0,1,0,2,navigational,other,/gevelisolatie/leiden/,city,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/rotterdam/,0,11,0,1.82,navigational,other,/gevelisolatie/rotterdam/,city,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/gevelisolatie/vlaardingen/,0,4,0,2,navigational,other,/gevelisolatie/vlaardingen/,city,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/muren-stucen-2/,0,3,0,2,navigational,other,/muren-stucen-2/,,low,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/muren-stucen/,0,4,0,6.5,navigational,other,/muren-stucen/,service,high,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/object6/,0,1,0,12,navigational,other,/object6/,,low,
bm klus bv,bm klus bv,https://bm-klus-bv.nl/object7/,0,1,0,12,navigational,other,/object7/,,low,
